metric,class0_mean,class0_std,class0_median,class123_mean,class123_std,class123_median,mannwhitney_p,significant
depth,320.06,39.4505,321.0,375.12,37.9029,377.5,0.0,***
spacing_z,0.987,0.0955,1.0,1.0,0.0,1.0,0.019178,*
spacing_x,0.6584,0.0558,0.6612,0.6643,0.0342,0.665,0.556307,ns
width,512.0,0.0,512.0,512.0,0.0,512.0,1.0,ns
height,512.0,0.0,512.0,512.0,0.0,512.0,1.0,ns
mean_val,-994.3936,0.7892,-994.4495,-977.3348,5.4827,-977.9019,0.0,***
std_val,18.6706,1.2733,18.7175,95.3229,18.398,90.3612,0.0,***
min_val,-1000.0,0.0,-1000.0,-1439.08,145.178,-1464.5,0.0,***
max_val,-769.0,0.0,-769.0,2011.3933,417.2144,1879.5,0.0,***
file_size_mb,11.5196,2.1193,11.535,18.7153,3.8817,18.4,0.0,***
